Model,Class,Precision,Recall,F1
Logistic Reg. (L2),Class 0,0.7741935483870968,0.6018808777429467,0.6772486772486772
Logistic Reg. (L2),Class 1,0.3,0.2671232876712329,0.2826086956521739
Logistic Reg. (L2),Class 2,0.234375,0.39473684210526316,0.29411764705882354
Logistic Reg. (L2),Class 3,0.07142857142857142,0.42857142857142855,0.12244897959183673
Decision Tree,Class 0,0.6990595611285266,0.6990595611285266,0.6990595611285266
Decision Tree,Class 1,0.3115942028985507,0.2945205479452055,0.3028169014084507
Decision Tree,Class 2,0.19230769230769232,0.19736842105263158,0.19480519480519481
Decision Tree,Class 3,0.07692307692307693,0.14285714285714285,0.1
Random Forest,Class 0,0.7846715328467153,0.6739811912225705,0.7251264755480608
Random Forest,Class 1,0.3235294117647059,0.3013698630136986,0.3120567375886525
Random Forest,Class 2,0.2727272727272727,0.47368421052631576,0.34615384615384615
Random Forest,Class 3,0.0,0.0,0.0
